,plate,fragment,location
0,70,16,/specific/hadar1/filesC/P70-Fg016-R-C01-R01-D06092016-T151949-LR445 _PSC.jpg
1,82,61,/specific/hadar1/filesD/P82-Fg061-R-C01-R01-D13102013-T101831-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
2,68,51,/specific/hadar1/filesC/P68-Fg051-R-C01-R01-D07102015-T151238-LR445 _PSC.jpg
3,7,69,/specific/hadar1/filesC/P7-Fg069-R-C01-R01-D30032016-T145707-LR445 _PSC.jpg
4,8,11,/specific/hadar1/filesD/P8-Fg011-R-C01-R01-D22062015-T112357-LR445 _PSC.jpg
5,76,54,/specific/hadar1/filesD/P76-Fg054-R-C01-R01-D06082014-T103639-LR445 _PSC.jpg
6,69,26,/specific/hadar1/filesC/P69-Fg026-R-C01-R01-D24122015-T104258-LR445 _PSC.jpg
7,79,65,/specific/hadar1/filesD/P79-Fg065-R-C01-R01-D24072014-T143114-LR445 _PSC.jpg
8,68,50,/specific/hadar1/filesC/P68-Fg050-R-C01-R01-D07102015-T150401-LR445 _PSC.jpg
9,43,65,/specific/hadar1/filesC/P43-Fg065-R-C01-R01-D03122015-T134236-LR445 _PSC.jpg
10,75,53,/specific/hadar1/filesC/P75-Fg053-R-C01-R01-D30072014-T133545-LR445 _PSC.jpg
11,91,10,/specific/hadar1/filesD/P91-Fg010-R-C01-R01-D29032015-T104659-LR445 _PSC.jpg
12,70,65,/specific/hadar1/filesC/P70-Fg065-R-C01-R01-D11092016-T112154-LR445 _PSC.jpg
13,90,56,/specific/hadar1/filesD/P90-Fg056-R-C01-R01-D28042015-T094401-LR445 _PSC.jpg
14,96,32,/specific/hadar1/filesD/P96-Fg032-R-C01-R01-D11082015-T134228-LR445 _PSC.jpg
15,7,116,/specific/hadar1/filesC/P7-Fg116-R-C01-R01-D04042016-T103722-LR445 _PSC.jpg
16,79,53,/specific/hadar1/filesD/P79-Fg053-R-C01-R01-D24072014-T130236-LR445 _PSC.jpg
17,96,84,/specific/hadar1/filesD/P96-Fg084-R-C01-R01-D13082015-T095850-LR445 _PSC.jpg
18,90,3,/specific/hadar1/filesD/P90-Fg003-R-C01-R01-D26042015-T105158-LR445 _PSC.jpg
19,95,26,/specific/hadar1/filesD/P95-Fg026-R-C01-R01-D05072015-T154306-LR445 _PSC.jpg
20,79,61,/specific/hadar1/filesD/P79-Fg061-R-C01-R01-D24072014-T140318-LR445 _PSC.jpg
21,91,47,/specific/hadar1/filesD/P91-Fg047-R-C01-R01-D30032015-T134215-LR445 _PSC.jpg
22,75,4,/specific/hadar1/filesC/P75-Fg004-R-C01-R01-D29072014-T125756-LR445 _PSC.jpg
23,91,9,/specific/hadar1/filesD/P91-Fg009-R-C01-R01-D29032015-T092906-LR445 _PSC.jpg
24,43,37,/specific/hadar1/filesC/P43-Fg037-R-C01-R01-D01122015-T141327-LR445 _PSC.jpg
25,90,72,/specific/hadar1/filesD/P90-Fg072-R-C01-R01-D28042015-T131310-LR445 _PSC.jpg
26,94,56,/specific/hadar1/filesD/P94-Fg056-R-C01-R01-D11062015-T143602-LR445 _PSC.jpg
27,70,8,/specific/hadar1/filesC/P70-Fg008-R-C01-R01-D06092016-T141137-LR445 _PSC.jpg
28,92,24,/specific/hadar1/filesD/P92-Fg024-R-C01-R01-D07052015-T105731-LR445 _PSC.jpg
29,91,85,/specific/hadar1/filesD/P91-Fg085-R-C01-R01-D31032015-T132445-LR445 _PSC.jpg
30,8,47,/specific/hadar1/filesD/P8-Fg047-R-C01-R01-D23062015-T155610-LR445 _PSC.jpg
31,71,41,/specific/hadar1/filesC/P71-Fg041-R-C01-R01-D09092015-T153809-LR445 _PSC.jpg
32,69,8,/specific/hadar1/filesC/P69-Fg008-R-C01-R01-D23122015-T141119-LR445 _PSC.jpg
33,74,16,/specific/hadar1/filesC/P74-Fg016-R-C01-R01-D06082015-T130234-LR445 _PSC.jpg
34,94,25,/specific/hadar1/filesD/P94-Fg025-R-C01-R01-D11062015-T085034-LR445 _PSC.jpg
35,915,16,/specific/hadar1/filesD/P915-Fg016-R-C01-R01-D15102015-T101256-LR445 _PSC.jpg
36,69,25,/specific/hadar1/filesC/P69-Fg025-R-C01-R01-D24122015-T103448-LR445 _PSC.jpg
37,79,35,/specific/hadar1/filesD/P79-Fg035-R-C01-R01-D24072014-T100904-LR445 _PSC.jpg
38,75,3,/specific/hadar1/filesC/P75-Fg003-R-C01-R01-D29072014-T124701-LR445 _PSC.jpg
39,70,30,/specific/hadar1/filesC/P70-Fg030-R-C01-R01-D07092016-T142854-LR445 _PSC.jpg
40,94,92,/specific/hadar1/filesD/P94-Fg092-R-C01-R01-D14062015-T162425-LR445 _PSC.jpg
41,7,78,/specific/hadar1/filesC/P7-Fg078-R-C01-R01-D03042016-T095628-LR445 _PSC.jpg
42,8,78,/specific/hadar1/filesD/P8-Fg078-R-C01-R01-D29062015-T112442-LR445 _PSC.jpg
43,8,22,/specific/hadar1/filesD/P8-Fg022-R-C01-R01-D22062015-T151518-LR445 _PSC.jpg
44,95,87,/specific/hadar1/filesD/P95-Fg087-R-C01-R01-D08072015-T090212-LR445 _PSC.jpg
45,72,50,/specific/hadar1/filesC/P72-Fg050-R-C01-R01-D31082015-T112850-LR445 _PSC.jpg
46,8,8,/specific/hadar1/filesD/P8-Fg008-R-C01-R01-D22062015-T104853-LR445 _PSC.jpg
47,76,11,/specific/hadar1/filesD/P76-Fg011-R-C01-R01-D05082014-T110525-LR445 _PSC.jpg
48,79,17,/specific/hadar1/filesD/P79-Fg017-R-C01-R01-D23072014-T142728-LR445 _PSC.jpg
49,70,60,/specific/hadar1/filesC/P70-Fg060-R-C01-R01-D11092016-T101932-LR445 _PSC.jpg
50,76,14,/specific/hadar1/filesD/P76-Fg014-R-C01-R01-D05082014-T113012-LR445 _PSC.jpg
51,91,1,/specific/hadar1/filesD/P91-Fg001-R-C01-R01-D29032015-T093945-LR445 _PSC.jpg
52,8,13,/specific/hadar1/filesD/P8-Fg013-R-C01-R01-D22062015-T122913-LR445 _PSC.jpg
53,915,20,/specific/hadar1/filesD/P915-Fg020-R-C01-R01-D15102015-T104315-LR445 _PSC.jpg
54,567,33,/specific/hadar1/filesC/P567-Fg033-R-C01-R01-D21052014-T103239-LR445 _PSC.jpg
55,8,66,/specific/hadar1/filesD/P8-Fg066-R-C01-R01-D28062015-T143302-LR445 _PSC.jpg
56,8,74,/specific/hadar1/filesD/P8-Fg074-R-C01-R01-D29062015-T084213-LR445 _PSC.jpg
57,82,85,/specific/hadar1/filesD/P82-Fg085-R-C01-R01-D15102013-T095533-LR445 _ColorCalData_IAA_Left_CC110304_110702.jpg
58,91,45,/specific/hadar1/filesD/P91-Fg045-R-C01-R01-D30032015-T131948-LR445 _PSC.jpg
59,95,64,/specific/hadar1/filesD/P95-Fg064-R-C01-R01-D07072015-T110310-LR445 _PSC.jpg
60,79,11,/specific/hadar1/filesD/P79-Fg011-R-C01-R01-D23072014-T133942-LR445 _PSC.jpg
61,75,67,/specific/hadar1/filesD/P75-Fg067-R-C01-R01-D31072014-T091139-LR445 _PSC.jpg
62,94,29,/specific/hadar1/filesD/P94-Fg029-R-C01-R01-D11062015-T092207-LR445 _PSC.jpg
63,94,65,/specific/hadar1/filesD/P94-Fg065-R-C01-R01-D14062015-T121315-LR445 _PSC.jpg
64,91,25,/specific/hadar1/filesD/P91-Fg025-R-C01-R01-D29032015-T131155-LR445 _PSC.jpg
65,96,43,/specific/hadar1/filesD/P96-Fg043-R-C01-R01-D12082015-T090942-LR445 _PSC.jpg
66,90,19,/specific/hadar1/filesD/P90-Fg019-R-C01-R01-D26042015-T135551-LR445 _PSC.jpg
67,94,12,/specific/hadar1/filesD/P94-Fg012-R-C01-R01-D10062015-T115737-LR445 _PSC.jpg
68,7,40,/specific/hadar1/filesC/P7-Fg040-R-C01-R01-D29032016-T145559-LR445 _PSC.jpg
69,96,24,/specific/hadar1/filesD/P96-Fg024-R-C01-R01-D11082015-T120722-LR445 _PSC.jpg
70,69,35,/specific/hadar1/filesC/P69-Fg035-R-C01-R01-D24122015-T124721-LR445 _PSC.jpg
71,75,34,/specific/hadar1/filesC/P75-Fg034-R-C01-R01-D30072014-T104950-LR445 _PSC.jpg
72,74,35,/specific/hadar1/filesC/P74-Fg035-R-C01-R01-D09082015-T101229-LR445 _PSC.jpg
73,8,7,/specific/hadar1/filesD/P8-Fg007-R-C01-R01-D22062015-T103942-LR445 _PSC.jpg
74,7,75,/specific/hadar1/filesC/P7-Fg075-R-C01-R01-D03042016-T092901-LR445 _PSC.jpg
75,68,26,/specific/hadar1/filesC/P68-Fg026-R-C01-R01-D07102015-T110823-LR445 _PSC.jpg
76,7,7,/specific/hadar1/filesC/P7-Fg007-R-C01-R01-D28032016-T134802-LR445 _PSC.jpg
77,69,14,/specific/hadar1/filesC/P69-Fg014-R-C01-R01-D23122015-T150120-LR445 _PSC.jpg
78,915,2,/specific/hadar1/filesD/P915-Fg002-R-C01-R01-D14102015-T150135-LR445 _PSC.jpg
79,7,48,/specific/hadar1/filesC/P7-Fg048-R-C01-R01-D30032016-T100813-LR445 _PSC.jpg
80,43,85,/specific/hadar1/filesC/P43-Fg085-R-C01-R01-D06122015-T141550-LR445 _PSC.jpg
81,94,19,/specific/hadar1/filesD/P94-Fg019-R-C01-R01-D10062015-T132913-LR445 _PSC.jpg
82,95,46,/specific/hadar1/filesD/P95-Fg046-R-C01-R01-D06072015-T125646-LR445 _PSC.jpg
83,72,19,/specific/hadar1/filesC/P72-Fg019-R-C01-R01-D30082015-T124226-LR445 _PSC.jpg
84,95,75,/specific/hadar1/filesD/P95-Fg075-R-C01-R01-D07072015-T131604-LR445 _PSC.jpg
85,94,57,/specific/hadar1/filesD/P94-Fg057-R-C01-R01-D11062015-T144328-LR445 _PSC.jpg
86,96,28,/specific/hadar1/filesD/P96-Fg028-R-C01-R01-D11082015-T130648-LR445 _PSC.jpg
87,75,5,/specific/hadar1/filesC/P75-Fg005-R-C01-R01-D29072014-T130633-LR445 _PSC.jpg
88,8,61,/specific/hadar1/filesD/P8-Fg061-R-C01-R01-D28062015-T135303-LR445 _PSC.jpg
89,43,91,/specific/hadar1/filesC/P43-Fg091-R-C01-R01-D07122015-T103620-LR445 _PSC.jpg
90,8,96,/specific/hadar1/filesD/P8-Fg096-R-C01-R01-D29062015-T143543-LR445 _PSC.jpg
91,75,40,/specific/hadar1/filesC/P75-Fg040-R-C01-R01-D30072014-T113504-LR445 _PSC.jpg
92,95,114,/specific/hadar1/filesD/P95-Fg114-R-C01-R01-D08072015-T152250-LR445 _PSC.jpg
93,78,59,/specific/hadar1/filesD/P78-Fg059-R-C01-R01-D20072014-T151401-LR445 _PSC.jpg
94,95,89,/specific/hadar1/filesD/P95-Fg089-R-C01-R01-D08072015-T092020-LR445 _PSC.jpg
95,82,30,/specific/hadar1/filesD/P82-Fg030-R-C01-R01-D09102013-T100328-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
96,82,58,/specific/hadar1/filesD/P82-Fg058-R-C01-R01-D13102013-T095026-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
97,95,73,/specific/hadar1/filesD/P95-Fg073-R-C01-R01-D07072015-T130024-LR445 _PSC.jpg
98,70,35,/specific/hadar1/filesC/P70-Fg035-R-C01-R01-D07092016-T153312-LR445 _PSC.jpg
99,73,29,/specific/hadar1/filesC/P73-Fg029-R-C01-R01-D20082015-T133751-LR445 _PSC.jpg
